feature,accidents_with_feature,share_of_total,avg_severity_with_feature,severe_rate_with_feature
Junction,520602,0.0745289917523093,2.321502798683063,0.2909919669920592
Give_Way,34276,0.004906926445350102,2.183918776986813,0.16909791107480454
Railway,61628,0.008822618245245538,2.167488803790485,0.16195560459531383
Traffic_Calming,6843,0.0009796387462227432,2.138827999415461,0.13795119099810024
No_Exit,17744,0.0025402177280398008,2.120885933273219,0.12285843101893598
Bump,3114,0.00044579790380500106,2.105330764290302,0.10725754656390495
Traffic_Signal,1088203,0.1557863250848791,2.091059296840755,0.09834470222927157
Station,181785,0.026024204220678266,2.0817119124240175,0.08237753389993674
Crossing,808018,0.11567525068616229,2.0670814264038673,0.07482754097062194
Amenity,87593,0.012539748165700533,2.073339193771192,0.06753964357882479
Stop,194589,0.0278572152548206,2.0778409879284028,0.06536854601236453
Roundabout,220,3.149503495089924e-05,2.077272727272727,0.05
